timestamp,address,rssi,manufacturer_id,raw_mdata,service_data
2025-05-02T06:20:09.968119,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-74,0x01CE,5801014a000000cd08990220df020853c04e0e4204000001,{}
2025-05-02T06:20:10.273845,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-82,0x01CE,5801024d000000cd0899fff1ffffffff0200000000000000,{}
2025-05-02T06:20:10.587064,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-75,0x01CE,58010050000000cd089955544d535f504943533030303100,{}
2025-05-02T06:20:11.200353,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-68,0x01CE,58010156000000cd08990220df020853c04e0e4204000001,{}
2025-05-02T06:20:13.264933,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-75,0x01CE,5801016a000000cd08990220df020853c04e0e4204000001,{}
2025-05-02T06:20:13.882838,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-70,0x01CE,58010070000000cd089955544d535f504943533030303100,{}
2025-05-02T06:20:14.192384,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-86,0x01CE,58010273000000cd0899fff1ffffffff0200000000000000,{}
2025-05-02T06:20:14.501189,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-73,0x01CE,58010176000000cd08990220df020853c04e0e4204000001,{}
2025-05-02T06:20:16.563496,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-71,0x01CE,5801018a000000cd08990220df020853c04e0e4204000001,{}
2025-05-02T06:20:17.180643,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-83,0x01CE,58010090000000cd089955544d535f504943533030303100,{}
2025-05-02T06:20:17.489308,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-69,0x01CE,58010293000000cd0899fff1ffffffff0200000000000000,{}
2025-05-02T06:20:17.794296,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-70,0x01CE,58010196000000cd08990220df020853c04e0e4204000001,{}
2025-05-02T06:20:17.794833,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-60,0x01CE,58010196000000cd08990220df020853c04e0e4204000001,{}
2025-05-02T06:20:18.098395,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-63,0x01CE,58010299000000cd0899fff1ffffffff0200000000000000,{}
2025-05-02T06:20:20.467881,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-75,0x01CE,580100b0000000cd089955544d535f504943533030303100,{}
2025-05-02T06:20:20.777653,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-76,0x01CE,580102b3000000cd0899fff1ffffffff0200000000000000,{}
2025-05-02T06:20:21.091644,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-82,0x01CE,580101b6000000cd08990220df020853c04e0e4204000001,{}
2025-05-02T06:20:23.767596,1F62707D-0123-6ADA-D97B-BAC5229BDBF5,-67,0x01CE,580100d0000000cd089955544d535f504943533030303100,{}
